concept,amount,date,category,mode
rent,1618.95,01/03/19,housing,debit
internet,66.95,01/07/19,utilities,debit
home insurance,16.50,01/09/19,insurance,debit
cell phone,58.39,01/14/19,utilities,credit
life insurance,85.98,01/07/19,insurance,credit
energy,4.92,01/10/19,utilities,debit
car insurance,384.48,01/09/19,insurance,credit
retailer,39.66,01/03/19,gifts,credit
retailer,32.66,01/16/19,gifts,debit
groceries,103.84,01/21/19,food,credit
tolls,25,01/17/19,transportation,credit
retailer,43.71,01/22/19,personal,credit
public transit,20,01/23/19,transportation,credit
public transit,20,01/24/19,transportation,credit
doctor appt,20,01/24/19,healthcare,credit
restaurant,11,01/25/19,recreation,credit
restaurant,8,01/26/19,recreation,credit
groceries,42.07,01/26/19,food,credit
groceries,42.54,01/26/19,food,credit
groceries,29.82,01/27/19,food,credit
retailer,186.81,01/27/19,personal,credit
public transit,20,01/30/19,transportation,credit
restaurant,13.63,01/30/19,recreation,credit
groceries,24.21,01/31/19,food,credit
rent,1659.95,02/03/19,housing,debit
internet,54.18,02/07/19,utilities,credit
home insurance,16.50,02/07/19,insurance,debit
cell phone,101.69,02/13/19,utilities,credit
life insurance,85.98,02/07/19,insurance,credit
energy,35.76,02/10/19,utilities,debit
retailer,7.81,02/01/19,personal,credit
groceries,123.47,02/02/19,food,credit
gas station,37,02/02/19,transportation,credit
retailer,89,02/01/19,personal,credit
retailer,24.04,02/01/19,personal,credit
restaurant,22.94,02/02/19,recreation,debit
streaming,4.99,02/03/19,recreation,credit
retailer,12.02,02/04/19,personal,credit
fitness,34.95,02/05/19,personal,credit
retailer,5.95,02/05/19,personal,credit
public transit,9.62,02/06/19,transportation,credit
pharmacy,4.36,02/07/19,healthcare,debit
trip expenses,215,02/08/19,vacations,credit
groceries,27.83,02/10/19,food,credit
groceries,65.81,02/10/19,food,credit
parking,1.5,02/11/19,transportation,credit
cash transfer,89,02/12/19,personal,debit
public transit,20,02/13/19,transportation,credit
public transit,20,02/13/19,transportation,credit
parking,2,02/14/19,transportation,credit
public transit,20,02/15/19,transportation,credit
restaurant,15.6,02/15/19,recreation,credit
groceries,65.6,02/16/19,food,credit
gas station,27.71,02/18/19,transportation,credit
groceries,127.27,02/20/19,food,credit
restaurant,19.12,02/22/19,recreation,credit
restaurant,28.04,02/22/19,recreation,credit
retailer,15,02/22/19,personal,credit
parking,3.5,02/22/19,transportation,credit
groceries,72.7,02/23/19,food,credit
parking,1,02/26/19,transportation,credit
public transit,20,02/27/19,transportation,credit
parking,1,02/27/19,transportation,credit
rent,1659.95,03/03/19,housing,debit
internet,44.95,03/05/19,utilities,credit
home insurance,16.50,03/07/19,insurance,debit
cell phone,80.02,03/02/19,utilities,credit
life insurance,85.98,03/07/19,insurance,credit
energy,71.97,03/13/19,utilities,debit
restaurant,11.41,03/01/19,recreation,credit
groceries,130.29,03/02/19,food,credit
cash transfer,20,03/02/19,personal,debit
home maintenance,103,03/02/19,housing,debit
parking permit,33,03/02/19,transportation,debit
restaurant,11.41,03/03/19,recreation,credit
parking,3.85,03/03/19,transportation,credit
streaming,4.99,03/03/19,recreation,credit
groceries,38.24,03/05/19,food,credit
cash transfer,270,03/07/19,gifts,debit
groceries,12.3,03/08/19,food,credit
groceries,54.65,03/09/19,food,credit
gas station,31.99,03/09/19,transportation,credit
restaurant,14.85,03/09/19,recreation,credit
retailer,7.55,03/10/19,personal,credit
groceries,70.15,03/13/19,food,credit
trip expenses,299.65,03/14/19,vacations,credit
retailer,69.87,03/18/19,personal,credit
groceries,52.72,03/18/19,food,credit
groceries,34.13,03/22/19,food,credit
pharmacy,14.73,03/24/19,healthcare,credit
groceries,5.27,03/24/19,food,credit
groceries,5.65,03/24/19,food,credit
groceries,33.14,03/25/19,food,credit
parking,0.8,03/25/19,transportation,credit
farmers market,1.95,03/29/19,food,credit
public transit,7.76,03/31/19,vacations,credit
parking,12.5,03/31/19,transportation,credit
rent,1659.95,04/03/19,housing,debit
internet,44.95,04/05/19,utilities,credit
home insurance,16.50,04/07/19,insurance,debit
cell phone,45.67,04/02/19,utilities,credit
life insurance,85.98,04/07/19,insurance,credit
energy,10.99,04/11/19,utilities,debit
groceries,82.4,04/02/19,food,credit
parking,6.5,04/02/19,transportation,credit
public transit,20,04/03/19,transportation,credit
trip expenses,529.48,04/03/19,vacations,credit
groceries,29.16,04/05/19,food,credit
groceries,37.63,04/06/19,food,credit
groceries,67.89,04/06/19,food,credit
tolls,25,04/06/19,transportation,credit
parking,3.7,04/08/19,transportation,credit
retailer,91,04/09/19,personal,credit
groceries,3.25,04/10/19,food,credit
parking,1.25,04/10/19,transportation,credit
gas station,37.81,04/12/19,transportation,credit
groceries,83.47,04/12/19,food,credit
groceries,8.3,04/12/19,food,credit
groceries,13.19,04/12/19,food,credit
trip expenses,572.54,04/12/19,vacations,credit
retailer,139.79,04/13/19,personal,credit
groceries,76.71,04/14/19,food,credit
restaurant,4.25,04/18/19,recreation,credit
groceries,90.85,04/20/19,food,credit
car maintenance,8,04/20/19,transportation,credit
groceries,11.8,04/20/19,food,credit
life insurance,69.78,04/22/19,insurance,debit
groceries,65.68,04/24/19,food,debit
groceries,77.16,04/25/19,food,credit
groceries,137.04,04/27/19,food,credit
rent,1659.95,05/02/19,housing,debit
internet,44.95,05/05/19,utilities,credit
home insurance,16.50,05/07/19,insurance,debit
doctor appt,344.00,05/08/19,healthcare,credit
cell phone,45.67,05/02/19,utilities,credit
tolls,25,05/10/19,transportation,credit
restaurant,4.25,05/15/19,recreation,credit
life insurance,69.78,05/22/19,insurance,debit
life insurance,95,05/22/19,insurance,debit
energy,52.43,05/20/19,utilities,debit
groceries,71.05,05/01/19,food,credit
groceries,63.23,05/04/19,food,credit
retailer,4.75,05/07/19,recreation,debit
groceries,18.05,05/09/19,food,credit
cash transfer,40,05/15/19,personal,debit
retailer,87.65,05/12/19,personal,credit
retailer,58.94,05/15/19,personal,credit
groceries,5.95,05/09/19,food,credit
farmers market,16,05/14/19,food,credit
parking,7.85,05/16/19,transportation,credit
retailer,15,05/16/19,personal,credit
groceries,35.53,05/16/19,food,credit
groceries,26.72,05/17/19,food,credit
gas station,44.23,05/18/19,transportation,credit
groceries,140.17,05/18/19,food,credit
groceries,51.99,05/19/19,food,credit
car registration,199,05/20/19,transportation,credit
doctor appt,18,05/22/19,healthcare,credit
